struct,subject,feature,family,cov,n_raters
ut,D1-028,size_bbox_z,size,0.24800999871815468,2
ut,D1-028,size_centroid,size,0.04906936401354747,2
ut,D1-028,size_volume_mm3,size,0.1874869650700929,2
ut,D1-032,shape_aniso,shape,0.0026521588533093133,2
ut,D1-032,shape_aspect_yx,shape,0.02319234906761558,2
ut,D1-032,shape_aspect_zx,shape,0.10083776364447034,2
ut,D1-032,shape_elong_21,shape,0.04230165223369209,2
ut,D1-032,shape_elong_31,shape,0.00574073127249256,2
ut,D1-032,shape_flatness,shape,0.036569801660255266,2
ut,D1-032,shape_sa_vol_norm,shape,0.022909767000130584,2
ut,D1-032,shape_sphericity,shape,0.02290976700013069,2
ut,D1-032,size_area_mm2,size,0.009567957859105794,2
ut,D1-032,size_bbox_diag,size,0.014840730337814472,2
ut,D1-032,size_bbox_x,size,0.02737716051344769,2
ut,D1-032,size_bbox_y,size,0.05053742131726032,2
ut,D1-032,size_bbox_z,size,0.0736639636732279,2
ut,D1-032,size_centroid,size,0.013518082875381345,2
ut,D1-032,size_volume_mm3,size,0.04868452081426203,2
ut,D1-034,shape_aniso,shape,0.16529616398689484,2
ut,D1-034,shape_aspect_yx,shape,0.029600459103639114,2
ut,D1-034,shape_aspect_zx,shape,0.09362983133510738,2
ut,D1-034,shape_elong_21,shape,0.22611972941211014,2
ut,D1-034,shape_elong_31,shape,0.35434619318673855,2
ut,D1-034,shape_flatness,shape,0.1393954799532239,2
ut,D1-034,shape_sa_vol_norm,shape,0.013324717858738667,2
ut,D1-034,shape_sphericity,shape,0.013324717858738502,2
ut,D1-034,size_area_mm2,size,0.06116964724155532,2
ut,D1-034,size_bbox_diag,size,0.08994654880614072,2
ut,D1-034,size_bbox_x,size,0.060687548271162815,2
ut,D1-034,size_bbox_y,size,0.09012610670316884,2
ut,D1-034,size_bbox_z,size,0.15344547710087808,2
ut,D1-034,size_centroid,size,0.06948416493178403,2
ut,D1-034,size_volume_mm3,size,0.07175736436867519,2
ut,D1-036,shape_aniso,shape,0.3894863015885139,2
ut,D1-036,shape_aspect_yx,shape,0.13696777725102774,2
ut,D1-036,shape_aspect_zx,shape,0.0942074002111087,2
ut,D1-036,shape_elong_21,shape,0.40523363691119485,2
ut,D1-036,shape_elong_31,shape,0.4693058365955913,2
ut,D1-036,shape_flatness,shape,0.0791189176302412,2
ut,D1-036,shape_sa_vol_norm,shape,0.08194162958705256,2
ut,D1-036,shape_sphericity,shape,0.08194162958705249,2
ut,D1-036,size_area_mm2,size,0.14707901849714922,2
ut,D1-036,size_bbox_diag,size,0.1009918383335695,2
ut,D1-036,size_bbox_x,size,0.16095238818643695,2
ut,D1-036,size_bbox_y,size,0.024525277818164784,2
ut,D1-036,size_bbox_z,size,0.06777261781189213,2
ut,D1-036,size_centroid,size,0.08717410192953534,2
ut,D1-036,size_volume_mm3,size,0.09871909460944765,2
ut,D1-037,shape_aniso,shape,0.007685748235573615,2
ut,D1-037,shape_aspect_yx,shape,0.08480021164066728,2
ut,D1-037,shape_aspect_zx,shape,0.11669563050861981,2
ut,D1-037,shape_elong_21,shape,0.0028426283305882506,2
ut,D1-037,shape_elong_31,shape,0.042684715484873105,2
